15/10/24, 22:53
Statistiche del progetto

                 	Segmenti	Parole	Caratteri (senza spazi)	Caratteri (con spazi)	#File	
Totali:          	   16079	162226	                 813733	               959669	   16	
Restanti:        	   14108	153304	                 764188	               903427	   15	
Univoci:         	   12353	150579	                 750069	               888264	   16	
Univoci restanti:	   11890	145834	                 723363	               857403	   15	


Statistiche file singoli:

Nome del file                           	Segmenti totali	Segmenti restanti	Segmenti univoci	Segmenti univoci restanti	Parole totali	Parole restanti	Parole univoche	Parole univoche restanti	Caratteri totali (senza spazi)	Caratteri rimanenti (senza spazi)	Caratteri univoci (senza spazi)	Caratteri univoci rimanenti (senza spazi)	Caratteri totali (con spazi)	Caratteri rimanenti (con spazi)	Caratteri univoci (con spazi)	Caratteri univoci rimanenti (con spazi)	
GS24800-Preface.odt                     	            446	                0	             384	                        0	         4456	              0	           4303	                       0	                         24837	                                0	                          24048	                                        0	                       28734	                              0	                        27854	                                      0	
GS24801-LOBasics.odt                    	            995	              823	             778	                      734	         9469	           8948	           8850	                    8595	                         47938	                            45013	                          44654	                                    43099	                       56448	                          53191	                        52764	                                  51011	
GS24802-GettingStartedWithWriter.odt    	           1361	             1258	            1084	                     1072	        15129	          14868	          14347	                   14293	                         74917	                            73502	                          70607	                                    70311	                       88710	                          87140	                        83898	                                  83560	
GS24803-GettingStartedWithCalc.odt      	           1571	             1441	            1229	                     1211	        18301	          17943	          17298	                   17178	                         87398	                            85400	                          82377	                                    81653	                      104186	                         101962	                        98511	                                  97686	
GS24804-StylesTemplatesHyperlinks.odt   	            836	              699	             565	                      565	         7423	           7064	           6657	                    6657	                         37512	                            35644	                          33504	                                    33504	                       44140	                          42062	                        39622	                                  39622	
GS24805-ImagesAndGraphics.odt           	            837	              745	             637	                      636	         7617	           7334	           6993	                    6992	                         38558	                            37019	                          35090	                                    35087	                       45347	                          43630	                        41471	                                  41468	
GS24806-GettingStartedWithImpress.odt   	           1481	             1369	            1119	                     1115	        16396	          16050	          15247	                   15235	                         79488	                            77592	                          73437	                                    73357	                       94442	                          92327	                        87620	                                  87532	
GS24807-GettingStartedWithDraw.odt      	           1169	             1098	             886	                      886	        11322	          11050	          10481	                   10481	                         56424	                            54917	                          51739	                                    51739	                       66599	                          64903	                        61373	                                  61373	
GS24808-GettingStartedWithBase.odt      	           1580	             1487	            1349	                     1349	        16690	          16502	          15997	                   15997	                         79578	                            78541	                          75877	                                    75877	                       94626	                          93497	                        90481	                                  90481	
GS24809-GettingStartedWithMath.odt      	           1071	              972	             779	                      779	        11858	          11649	          10973	                   10973	                         58432	                            57297	                          53647	                                    53647	                       69338	                          68095	                        63966	                                  63966	
GS24810-FileFormatsSecurityExporting.odt	           1398	             1295	            1109	                     1109	        13328	          13003	          12422	                   12422	                         68162	                            66368	                          63260	                                    63260	                       80063	                          78059	                        74562	                                  74562	
GS24811-GettingStartedWithMacros.odt    	           1034	              953	             803	                      803	         9808	           9557	           9138	                    9138	                         52119	                            50672	                          47633	                                    47633	                       60662	                          59052	                        55770	                                  55770	
GS24812-ConfiguringLO.odt               	           1011	              929	             792	                      792	        10122	           9825	           9304	                    9304	                         54778	                            53121	                          50113	                                    50113	                       63940	                          62079	                        58694	                                  58694	
GS24813-CustomizingLO.odt               	            520	              432	             354	                      354	         5157	           4848	           4295	                    4295	                         26093	                            24396	                          21610	                                    21610	                       30743	                          28838	                        25566	                                  25566	
GS24814-KeyboardShortcuts.odt           	            584	              486	             381	                      381	         3605	           3374	           3094	                    3094	                         18205	                            16894	                          15362	                                    15362	                       21107	                          19672	                        17981	                                  17981	
GS24815-OpenSourcesStandardsDoc.odt     	            185	              121	             104	                      104	         1545	           1289	           1180	                    1180	                          9294	                             7812	                           7111	                                     7111	                       10584	                           8920	                         8131	                                   8131	
